Date,XOM,CVX,COP,SLB,GS,MS,JPM,BAC,KO,PEP,MCD,YUM,MSFT,GOOGL,META,AMZN,NEE,DUK,SO,AEP
2015-01-02,57.145538330078125,68.89832305908203,47.56376647949219,62.20848083496094,154.8726806640625,28.405534744262695,46.06678771972656,14.050795555114746,29.390262603759766,66.58293151855469,69.80445861816406,41.82003402709961,39.68174362182617,26.244783401489258,77.76708984375,15.425999641418457,19.752504348754883,52.45854949951172,30.44742774963379,40.75082015991211
2015-01-05,55.581932067871094,66.14435577392578,45.300140380859375,60.523826599121094,150.03707885742188,27.517629623413086,44.63664245605469,13.642613410949707,29.390262603759766,66.08235168457031,69.03353118896484,40.9703483581543,39.31684112548828,25.744714736938477,76.51805877685547,15.10949993133545,19.54329490661621,51.70334243774414,30.317920684814453,40.15104293823242
2015-01-06,55.28644561767578,66.11376190185547,43.429893493652344,59.34020233154297,147.001953125,26.725116729736328,43.479248046875,13.2344331741333,29.613445281982422,65.581787109375,69.1607437133789,40.46745681762695,38.73976516723633,25.109350204467773,75.48710632324219,14.76449966430664,19.619203567504883,52.55217361450195,30.681779861450195,40.3709602355957
2015-01-07,55.846649169921875,66.05870056152344,43.71975326538086,59.33295440673828,149.19265747070312,27.106689453125,43.545616149902344,13.297231674194336,29.983081817626953,67.49947357177734,70.36583709716797,41.808475494384766,39.23198699951172,25.035505294799805,75.48710632324219,14.920999526977539,19.798791885375977,52.720672607421875,31.020973205566406,40.944068908691406
2015-01-08,56.77619552612305,67.57030487060547,44.81014633178711,60.05183410644531,151.57456970214844,27.510295867919922,44.51869201660156,13.571972846984863,30.34575653076172,68.72621154785156,70.6278076171875,42.53678894042969,40.3861083984375,25.122730255126953,77.49942016601562,15.02299976348877,19.919126510620117,52.93289566040039,31.045642852783203,41.29726028442383
2015-01-09,56.69615173339844,66.22391510009766,44.80323791503906,58.977142333984375,149.2483673095703,27.062673568725586,43.74464797973633,13.328631401062012,30.010986328125,68.2608871459961,69.76702117919922,42.46163558959961,40.04664611816406,24.815954208374023,77.06327056884766,14.846500396728516,19.743247985839844,53.00778579711914,30.650936126708984,41.077354431152344
2015-01-12,55.60657501220703,64.79796600341797,43.52650451660156,56.67526626586914,147.43206787109375,26.688426971435547,43.36869430541992,13.093143463134766,29.738985061645508,67.97889709472656,69.61735534667969,42.14372634887695,39.54597473144531,24.63456153869629,76.05213165283203,14.570500373840332,19.69326400756836,53.05770492553711,30.657093048095703,41.0240364074707
2015-01-13,55.40341567993164,63.76983642578125,43.09172821044922,56.4792366027832,147.32054138183594,26.438926696777344,43.37605285644531,12.912601470947266,29.73200798034668,67.92951965332031,69.48261260986328,41.97032928466797,39.34228515625,24.869478225708008,75.78449249267578,14.737000465393066,19.77101707458496,53.344810485839844,30.63860511779785,41.23063278198242
2015-01-14,55.24335479736328,63.58622741699219,43.21595001220703,56.922183990478516,143.57643127441406,25.83722686767578,41.87956619262695,12.590770721435547,29.683195114135742,68.1551513671875,68.51704406738281,42.034263610839844,39.00285339355469,25.074159622192383,75.61597442626953,14.66349983215332,19.893205642700195,53.48212432861328,30.953134536743164,41.823726654052734
2015-01-15,54.76319885253906,62.83348083496094,42.380889892578125,55.644168853759766,142.19033813476562,25.374923706054688,40.53788757324219,11.931400299072266,29.557645797729492,68.1551513671875,68.39730072021484,41.53434753417969,38.59549331665039,24.97900390625,73.40538787841797,14.34749984741211,19.817304611206055,54.14995574951172,31.329326629638672,42.09029006958008
2015-01-16,56.0928840637207,64.33287811279297,43.53340530395508,59.0570182800293,141.18655395507812,25.602399826049805,41.23085021972656,12.072694778442383,29.662256240844727,68.59228515625,68.47962951660156,42.10401916503906,39.24047088623047,25.29867172241211,74.52555084228516,14.536999702453613,20.0357666015625,54.51819610595703,31.668514251708984,42.36351013183594
2015-01-20,56.07441329956055,65.1590576171875,43.609317779541016,58.43980026245117,139.9119415283203,25.499664306640625,41.06865310668945,11.978499412536621,30.10165786743164,68.74736022949219,67.96317291259766,41.359954833984375,39.367759704589844,25.272897720336914,75.5763168334961,14.472000122070312,20.167217254638672,54.73040771484375,31.859708786010742,42.336856842041016
2015-01-21,56.554588317871094,66.19332885742188,44.54100036621094,59.69601058959961,141.122802734375,25.4849910736084,41.20134735107422,12.096243858337402,30.241146087646484,68.66981506347656,67.6188735961914,41.56340789794922,38.96889877319336,25.79080581665039,76.07196807861328,14.862500190734863,20.344947814941406,55.34828186035156,32.075557708740234,42.74337387084961
2015-01-22,57.17018127441406,66.65845489501953,45.06549835205078,59.64519119262695,145.01834106445312,26.0720272064209,42.45457458496094,12.63001537322998,30.534061431884766,69.72736358642578,68.03052520751953,42.89458084106445,39.995723724365234,26.628875732421875,76.97405242919922,15.515999794006348,20.281997680664062,55.317073822021484,32.149559020996094,42.70339584350586
2015-01-23,55.9512939453125,65.39160919189453,44.61690902709961,59.54352569580078,143.7835235595703,25.793190002441406,41.78372573852539,12.347429275512695,30.206279754638672,69.46649169921875,67.03501892089844,43.08061981201172,40.03816223144531,26.859331130981445,77.15247344970703,15.619500160217285,20.26904296875,55.373268127441406,32.211238861083984,42.996612548828125
2015-01-26,56.48686981201172,66.63394165039062,45.42435836791992,60.763465881347656,143.72779846191406,25.763835906982422,41.85008239746094,12.441628456115723,29.990070343017578,69.57929229736328,67.8658676147461,43.15618896484375,39.893898010253906,26.60013198852539,76.82535552978516,15.482999801635742,20.319032669067383,55.26716995239258,32.211238861083984,43.029930114746094
2015-01-27,55.988224029541016,66.25453186035156,45.23112487792969,61.39521026611328,140.5970458984375,25.43362808227539,41.42988967895508,12.268935203552246,29.564617156982422,68.19039154052734,67.04251098632812,42.68532180786133,36.2023811340332,25.830453872680664,75.12032318115234,15.337499618530273,20.5911865234375,55.373268127441406,32.32842254638672,42.816680908203125
2015-01-28,54.14143753051758,63.46995162963867,43.18834686279297,58.635860443115234,137.8566436767578,24.85223960876465,40.36095428466797,11.931400299072266,29.236827850341797,67.4853744506836,66.45121002197266,42.37723159790039,34.95489501953125,25.396305084228516,75.5763168334961,15.195500373840332,20.350502014160156,54.83026885986328,32.17424011230469,42.23690414428711
2015-01-29,53.91368103027344,63.035430908203125,43.35396194458008,59.47093200683594,140.19866943359375,25.293798446655273,41.03917694091797,12.111940383911133,29.36236572265625,67.70393371582031,69.81192779541016,43.173614501953125,35.6507682800293,25.435956954956055,77.32099151611328,15.58899974822998,20.67263412475586,55.7727165222168,32.55660629272461,42.4634895324707
2015-01-30,53.81517791748047,62.74777603149414,43.46439743041992,59.826725006103516,137.34677124023438,24.881681442260742,40.08819580078125,11.8921537399292,28.71373748779297,66.11759185791016,69.1906967163086,42.016815185546875,34.28448486328125,26.64126968383789,75.24919128417969,17.726499557495117,20.2246150970459,54.387115478515625,31.28000259399414,41.8570556640625
2015-02-02,55.14487838745117,64.90814971923828,45.389869689941406,61.460540771484375,139.8004150390625,25.330595016479492,40.89173126220703,12.135491371154785,29.006671905517578,67.21039581298828,69.24308013916016,42.27842330932617,35.03127670288086,26.376115798950195,74.33719635009766,18.223499298095703,20.37827491760254,54.29974365234375,31.316991806030273,42.02365493774414
2015-02-03,56.78849792480469,67.03175354003906,46.74940490722656,63.23232650756836,143.58438110351562,25.786882400512695,41.81321716308594,12.473024368286133,29.034574508666992,67.82379913330078,70.2984390258789,42.78995895385742,35.302825927734375,26.430633544921875,74.7436294555664,18.177499771118164,20.409748077392578,54.16242980957031,31.329326629638672,41.823726654052734
2015-02-04,56.30218505859375,66.30960083007812,45.45886993408203,61.39521026611328,142.42129516601562,25.588167190551758,41.56258010864258,12.394527435302734,29.06943702697754,68.10578918457031,70.3957748413086,42.813209533691406,35.506507873535156,26.073801040649414,74.97162628173828,18.237499237060547,20.261642456054688,53.66313552856445,30.502925872802734,41.463863372802734
2015-02-05,56.856224060058594,66.89713287353516,46.6320915222168,62.39002227783203,144.00660705566406,25.705930709838867,41.85008239746094,12.535820960998535,29.14615821838379,68.11285400390625,70.61283111572266,43.714237213134766,36.02417755126953,26.25865936279297,74.95181274414062,18.694499969482422,20.31161880493164,54.12498092651367,30.657093048095703,41.61713790893555
2015-02-06,56.75081253051758,67.08069610595703,46.576881408691406,62.56428527832031,146.12562561035156,26.338817596435547,42.67572784423828,12.94400405883789,28.90902328491211,68.18333435058594,70.3508529663086,42.97597122192383,35.99021911621094,26.459381103515625,73.82173156738281,18.714000701904297,19.587730407714844,51.871864318847656,29.707361221313477,39.75539016723633
2015-02-09,56.78801345825195,67.58255767822266,46.8253288269043,62.681148529052734,145.16171264648438,26.2210750579834,42.624122619628906,12.834107398986816,28.755596160888672,67.6615982055664,69.40027618408203,42.49931335449219,35.94778060913086,26.231403350830078,73.7919921875,18.527999877929688,19.350744247436523,51.6159553527832,29.473012924194336,39.143775939941406
2015-02-10,56.44686508178711,67.42952728271484,46.921966552734375,62.2429313659668,147.02587890625,26.61111068725586,43.095924377441406,12.88904857635498,29.571603775024414,69.08577728271484,70.37330627441406,43.06317138671875,36.15145492553711,26.770620346069336,74.53546905517578,18.649999618530273,19.963563919067383,52.539695739746094,30.021888732910156,39.86293411254883
2015-02-11,56.19257354736328,67.30714416503906,46.84601974487305,61.88502883911133,149.4873809814453,26.765653610229492,43.02957534790039,12.841954231262207,29.550670623779297,70.78490447998047,70.51554870605469,43.01084899902344,35.964759826660156,26.66356658935547,75.8439712524414,18.756999969482422,19.450727462768555,51.572505950927734,29.57168197631836,39.170658111572266
2015-02-12,57.29039764404297,68.51227569580078,47.466922760009766,62.783390045166016,151.1842498779297,27.15569305419922,43.914215087890625,13.085297584533691,29.41118812561035,70.69325256347656,71.1741943359375,43.481712341308594,36.56727981567383,27.060546875,75.56642150878906,18.85849952697754,19.502565383911133,51.07473373413086,29.03230857849121,38.96902847290039
2015-02-13,57.91060256958008,69.69884490966797,48.750572204589844,64.5509033203125,150.56289672851562,27.06739044189453,43.9879264831543,13.03819751739502,29.285654067993164,69.88953399658203,71.59335327148438,43.41777420043945,37.22921371459961,27.315784454345703,75.0806655883789,19.09149932861328,19.18412208557129,50.306034088134766,28.608304977416992,38.86821746826172
2015-02-17,57.7121467590332,69.46400451660156,48.46454620361328,64.92340087890625,151.37542724609375,27.17041778564453,44.30490493774414,13.053895950317383,29.16010856628418,69.34664154052734,70.62030792236328,44.208343505859375,37.24631118774414,27.010986328125,74.94189453125,18.771499633789062,19.1470947265625,50.02250289916992,28.396299362182617,38.89509963989258
2015-02-18,56.44686508178711,68.25267791748047,47.25067138671875,64.08348083496094,150.29994201660156,26.765653610229492,43.766754150390625,12.794855117797852,29.104310989379883,70.03052520751953,70.7924575805664,44.46994400024414,37.20356750488281,26.894023895263672,76.04222869873047,18.668500900268555,19.71547508239746,51.01803970336914,29.206911087036133,39.735225677490234
2015-02-19,55.473114013671875,66.9610595703125,47.03439712524414,63.52838134765625,150.65049743652344,26.73621368408203,43.663551330566406,12.72420883178711,29.36933708190918,69.6004638671875,70.50056457519531,44.56877517700195,37.17793655395508,27.082353591918945,78.7286376953125,18.950000762939453,19.51923179626465,49.88386917114258,28.801607131958008,39.258033752441406
2015-02-20,55.77082824707031,67.1155776977539,47.006500244140625,62.72496032714844,152.56236267089844,27.037946701049805,44.08375549316406,12.85765552520752,29.271699905395508,69.84017181396484,70.50056457519531,45.068687438964844,37.48561096191406,26.851896286010742,79.20446014404297,19.183000564575195,19.55069923400879,49.59403610229492,28.77042579650879,39.466392517089844
2015-02-23,55.206417083740234,66.65826416015625,46.68558120727539,62.47663116455078,151.60647583007812,26.692058563232422,43.752017974853516,12.71635913848877,29.18799591064453,70.1151351928711,70.59037780761719,45.016361236572266,37.73346710205078,26.5148868560791,78.1536865234375,19.006999969482422,19.622907638549805,49.94057846069336,28.976192474365234,39.7150764465332
2015-02-24,55.460697174072266,66.72005462646484,46.804176330566406,62.308658599853516,153.12802124023438,27.037946701049805,44.835693359375,12.85765552520752,29.38328742980957,70.206787109375,71.09186553955078,45.26050567626953,37.682186126708984,26.695783615112305,77.76708984375,18.929500579833984,19.639568328857422,50.31232833862305,29.238073348999023,39.84275817871094
2015-02-25,55.57236862182617,67.10320281982422,47.11112976074219,62.235618591308594,152.72967529296875,26.927566528320312,45.071590423583984,12.94400405883789,29.327486038208008,70.15038299560547,73.84630584716797,45.89994430541992,37.59671401977539,27.12596893310547,78.86742401123047,19.26849937438965,19.354236602783203,49.78304672241211,28.633243560791016,39.0362434387207
2015-02-26,54.98313522338867,66.1638412475586,45.939109802246094,61.2714958190918,153.59274291992188,26.53751564025879,45.39595413208008,12.590770721435547,29.613445281982422,69.84722137451172,75.12981414794922,46.14992141723633,37.65656280517578,27.718711853027344,79.71002197265625,19.239999771118164,19.298294067382812,49.49951171875,28.533472061157227,38.58592224121094
