0
"('AB', 'Low')"
"('AB', 'Close')"
"('AB', 'Volume')"
"('ABPO', 'Open')"
"('ABPO', 'High')"
"('ABPO', 'Low')"
"('ABPO', 'Close')"
"('ABPO', 'Volume')"
"('ABPWW', 'Open')"
"('ABPWW', 'High')"
"('ABPWW', 'Low')"
"('ABPWW', 'Close')"
"('ABPWW', 'Adj Close')"
"('ABPWW', 'Volume')"
"('ABLV', 'Open')"
"('ABLV', 'High')"
"('ABLV', 'Low')"
"('ABLV', 'Close')"
"('ABLV', 'Volume')"
"('ABNB', 'Open')"
"('ABNB', 'High')"
"('ABNB', 'Low')"
"('ABNB', 'Close')"
"('ABNB', 'Volume')"
"('ACGLO', 'Open')"
"('ACGLO', 'High')"
"('ACGLO', 'Low')"
"('ACGLO', 'Close')"
"('ACGLO', 'Volume')"
"('AASP', 'Open')"
"('AASP', 'High')"
"('AASP', 'Low')"
"('AASP', 'Close')"
"('AASP', 'Volume')"
"('AACOW', 'Open')"
"('AACOW', 'High')"
"('AACOW', 'Low')"
"('AACOW', 'Close')"
"('AACOW', 'Adj Close')"
"('AACOW', 'Volume')"
"('ABXXF', 'Open')"
"('ABXXF', 'High')"
"('ABXXF', 'Low')"
"('ABXXF', 'Close')"
"('ABXXF', 'Volume')"
"('ABVE', 'Open')"
"('ABVE', 'High')"
"('ABVE', 'Low')"
"('ABVE', 'Close')"
"('ABVE', 'Volume')"
"('ABVC', 'Open')"
"('ABVC', 'High')"
"('ABVC', 'Low')"
"('ABVC', 'Close')"
"('ABVC', 'Volume')"
"('ACBM', 'Open')"
"('ACBM', 'High')"
"('ACBM', 'Low')"
"('ACBM', 'Close')"
"('ACBM', 'Volume')"
"('ABR-PD', 'Open')"
"('ABR-PD', 'High')"
"('ABR-PD', 'Low')"
"('ABR-PD', 'Close')"
"('ABR-PD', 'Volume')"
"('ABVEW', 'Open')"
"('ABVEW', 'High')"
"('ABVEW', 'Low')"
"('ABVEW', 'Close')"
"('ABVEW', 'Adj Close')"
"('ABVEW', 'Volume')"
"('AACBU', 'Open')"
"('AACBU', 'High')"
"('AACBU', 'Low')"
"('AACBU', 'Close')"
"('AACBU', 'Adj Close')"
"('AACBU', 'Volume')"
"('ACFN', 'Open')"
"('ACFN', 'High')"
"('ACFN', 'Low')"
"('ACFN', 'Close')"
"('ACFN', 'Volume')"
"('ABTS', 'Open')"
"('ABTS', 'High')"
"('ABTS', 'Low')"
"('ABTS', 'Close')"
"('ABTS', 'Volume')"
"('ACH', 'Open')"
"('ACH', 'High')"
"('ACH', 'Low')"
"('ACH', 'Close')"
"('ACH', 'Volume')"
"('ABG', 'Open')"
"('ABG', 'High')"
"('ABG', 'Low')"
"('ABG', 'Close')"
"('ABG', 'Volume')"
"('AAUC', 'Open')"
"('AAUC', 'High')"
"('AAUC', 'Low')"
"('AAUC', 'Close')"
"('AAUC', 'Volume')"
"('ABXL', 'Open')"
"('ABXL', 'High')"
"('ABXL', 'Low')"
"('ABXL', 'Close')"
"('ABXL', 'Volume')"
"('ABLVW', 'Open')"
"('ABLVW', 'High')"
"('ABLVW', 'Low')"
"('ABLVW', 'Close')"
"('ABLVW', 'Adj Close')"
"('ABLVW', 'Volume')"
"('AACOU', 'Open')"
"('AACOU', 'High')"
"('AACOU', 'Low')"
"('AACOU', 'Close')"
"('AACOU', 'Adj Close')"
"('AACOU', 'Volume')"
"('AACIW', 'Open')"
"('AACIW', 'High')"
"('AACIW', 'Low')"
"('AACIW', 'Close')"
"('AACIW', 'Adj Close')"
"('AACIW', 'Volume')"
"('AAP', 'Open')"
"('AAP', 'High')"
"('AAP', 'Low')"
"('AAP', 'Close')"
"('AAP', 'Volume')"
"('AA', 'Open')"
"('AA', 'High')"
"('AA', 'Low')"
"('AA', 'Close')"
"('AA', 'Volume')"
"('ABIT', 'Open')"
"('ABIT', 'High')"
"('ABIT', 'Low')"
"('ABIT', 'Close')"
"('ABIT', 'Volume')"
"('ACEL', 'Open')"
"('ACEL', 'High')"
"('ACEL', 'Low')"
"('ACEL', 'Close')"
"('ACEL', 'Volume')"
"('AAAU', 'Open')"
"('AAAU', 'High')"
"('AAAU', 'Low')"
"('AAAU', 'Close')"
"('AAAU', 'Volume')"
"('ACCO', 'Open')"
"('ACCO', 'High')"
"('ACCO', 'Low')"
"('ACCO', 'Close')"
"('ACCO', 'Volume')"
"('A', 'Open')"
"('A', 'High')"
"('A', 'Low')"
"('A', 'Close')"
"('A', 'Volume')"
"('ABOS', 'Open')"
"('ABOS', 'High')"
"('ABOS', 'Low')"
"('ABOS', 'Close')"
"('ABOS', 'Volume')"
"('AAL', 'Open')"
"('AAL', 'High')"
"('AAL', 'Low')"
"('AAL', 'Close')"
"('AAL', 'Volume')"
"('AAMI', 'Open')"
"('AAMI', 'High')"
"('AAMI', 'Low')"
"('AAMI', 'Close')"
"('AAMI', 'Volume')"
"('AAS', 'Open')"
"('AAS', 'High')"
"('AAS', 'Low')"
"('AAS', 'Close')"
"('AAS', 'Adj Close')"
"('AAS', 'Volume')"
"('AAOI', 'Open')"
"('AAOI', 'High')"
"('AAOI', 'Low')"
"('AAOI', 'Close')"
"('AAOI', 'Volume')"
"('ABCL', 'Open')"
"('ABCL', 'High')"
"('ABCL', 'Low')"
"('ABCL', 'Close')"
"('ABCL', 'Volume')"
"('ABEO', 'Open')"
"('ABEO', 'High')"
"('ABEO', 'Low')"
"('ABEO', 'Close')"
"('ABEO', 'Volume')"
"('ABM', 'Open')"
"('ABM', 'High')"
"('ABM', 'Low')"
"('ABM', 'Close')"
"('ABM', 'Volume')"
"('ABT', 'Open')"
"('ABT', 'High')"
"('ABT', 'Low')"
"('ABT', 'Close')"
"('ABT', 'Volume')"
"('ACCL', 'Open')"
"('ACCL', 'High')"
"('ACCL', 'Low')"
"('ACCL', 'Close')"
"('ACCL', 'Adj Close')"
"('ACCL', 'Volume')"
"('AACPU', 'Open')"
"('AACPU', 'High')"
"('AACPU', 'Low')"
"('AACPU', 'Close')"
"('AACPU', 'Adj Close')"
"('AACPU', 'Volume')"
"('AACIU', 'Open')"
"('AACIU', 'High')"
"('AACIU', 'Low')"
"('AACIU', 'Close')"
"('AACIU', 'Adj Close')"
"('AACIU', 'Volume')"
"('ACDC', 'Open')"
"('ACDC', 'High')"
"('ACDC', 'Low')"
"('ACDC', 'Close')"
"('ACDC', 'Volume')"
"('AAUGF', 'Open')"
"('AAUGF', 'High')"
"('AAUGF', 'Low')"
"('AAUGF', 'Close')"
"('AAUGF', 'Volume')"
"('ABTC', 'Open')"
"('ABTC', 'High')"
"('ABTC', 'Low')"
"('ABTC', 'Close')"
"('ABTC', 'Volume')"
"('ABR', 'Open')"
"('ABR', 'High')"
"('ABR', 'Low')"
"('ABR', 'Close')"
"('ABR', 'Volume')"
"('ACAD', 'Open')"
"('ACAD', 'High')"
"('ACAD', 'Low')"
"('ACAD', 'Close')"
"('ACAD', 'Volume')"
"('ACAAW', 'Open')"
"('ACAAW', 'High')"
"('ACAAW', 'Low')"
"('ACAAW', 'Close')"
"('ACAAW', 'Adj Close')"
"('ACAAW', 'Volume')"
"('AACBR', 'Open')"
"('AACBR', 'High')"
"('AACBR', 'Low')"
"('AACBR', 'Close')"
"('AACBR', 'Adj Close')"
"('AACBR', 'Volume')"
"('AARD', 'Open')"
"('AARD', 'High')"
"('AARD', 'Low')"
"('AARD', 'Close')"
"('AARD', 'Adj Close')"
"('AARD', 'Volume')"
"('ABBNY', 'Open')"
"('ABBNY', 'High')"
"('ABBNY', 'Low')"
"('ABBNY', 'Close')"
"('ABBNY', 'Volume')"
"('AAUAF', 'Open')"
"('AAUAF', 'High')"
"('AAUAF', 'Low')"
"('AAUAF', 'Close')"
"('AAUAF', 'Volume')"
"('AACP', 'Open')"
"('AACP', 'High')"
"('AACP', 'Low')"
"('AACP', 'Close')"
"('AACP', 'Adj Close')"
"('AACP', 'Volume')"
"('ABR-PE', 'Open')"
"('ABR-PE', 'High')"
"('ABR-PE', 'Low')"
"('ABR-PE', 'Close')"
"('ABR-PE', 'Volume')"
"('ACCS', 'Open')"
"('ACCS', 'High')"
"('ACCS', 'Low')"
"('ACCS', 'Close')"
"('ACCS', 'Volume')"
"('ACHC', 'Open')"
"('ACHC', 'High')"
"('ACHC', 'Low')"
"('ACHC', 'Close')"
"('ACHC', 'Volume')"
"('AAON', 'Open')"
"('AAON', 'High')"
"('AAON', 'Low')"
"('AAON', 'Close')"
"('AAON', 'Volume')"
"('ACGCU', 'Open')"
